#;NAME;PSRJ;RAJ;DECJ;PMRA;PMDEC;PX;POSEPOCH;ELONG;ELAT;PMELONG;PMELAT;Gl;Gb;RAJD;DECJD;P0;P1;F0;F1;F2;F3;PEPOCH;DM;DM1;RM;W50;W10;UNITS;TAU_SC;S400;S1400;S2000;BINARY;T0;PB;A1;OM;ECC;TASC;EPS1;EPS2;Minimum;Median;BINCOMP;DIST;DIST_DM;DMsin(b);ZZ;XX;YY;ASSOC;SURVEY;OSURVEY;DISC.;PSR;NGLT;
345;J0721-2038;J0721-2038;07:21:42.9;-20:38:07.0;;;;55187.00;116.180;-42.236;;;234.669;-2.922;110.42876958;-20.63529472;0.015542;4.40e-20;64.340148;-1.821e-16;;;55187.00;76.01;;-18.40;0.370;3.000;TDB;;;0.27;;BT;54353.7100;5.4608;9.3790;195.60;1.020e-04;;;;0.4600;0.5483;CO[bkl+13];2.680;2.680;-3.88;-0.137;-2.184;10.048;;pkspa,gbncc;002100000000;2013;;;
346;J0723-2050;J0723-2050;07:23:04.8;-20:49:52;;;;59165.00;116.653;-42.368;;;234.992;-2.733;110.77000000;-20.83111111;0.711540;;1.405402;;;;59165.00;130.00;;;3.700;;TDB;;;;;;;;;;;;;;;;;3.265;3.265;-6.20;-0.156;-2.671;10.371;;meerkat_trapum;400000000000;2022;RRAT(?)[bbc+22];;
347;J0725-1635;J0725-1635;07:25:00.4;-16:35:45.8;;;;50884.00;116.203;-38.122;;;231.473;-0.330;111.25168397;-16.59605977;0.424311;9.26e-17;2.356760;-5.146e-16;1.500e-27;;50884.00;98.98;;188.00;2.900;10.000;TDB;;4.00;0.33;;;;;;;;;;;;;;2.778;2.778;-0.57;-0.016;-2.173;10.230;;pks70,pksmb,gbncc;002000044000;1996;;;
348;J0726-2612;J0726-2612;07:26:08.1;-26:12:38.1;;;;52950.00;119.168;-47.493;;;240.079;-4.644;111.53383333;-26.21058333;3.442308;2.93e-13;0.290503;-2.474e-14;;;52950.00;69.40;;126.00;77.000;104.000;TDB;;;0.20;;;;;;;;;;;;;;2.900;2.900;-5.62;-0.235;-2.505;9.942;XRS:1RXS_J072559.8-261229[skk11];pkshl,gbncc;002001000000;2006;;;
349;J0729-1448;J0729-1448;07:29:16.4;-14:48:36.8;;;;56471.00;117.054;-36.177;;;230.392;1.424;112.31854167;-14.81022222;0.251709;1.13e-13;3.972847;-1.789e-12;-1.180e-22;;56471.00;91.89;;46.00;7.600;18.000;TCB;;;0.83;;;;;;;;;;;;;;2.681;2.681;2.28;0.067;-2.065;10.209;GRS:4FGL_J0729.3-1445[aab+22];pksmb,gbncc,FermiBlind;002004040000;2002;HE[mhl+02,aab+22];6;
350;B0727-18;J0729-1836;07:29:32.3;-18:36:42.2;-13.060;13.270;0.500;56000.00;118.061;-39.895;;;233.760;-0.341;112.38473708;-18.61173444;0.510160;1.90e-14;1.960168;-7.284e-14;;;49720.00;61.29;;51.00;14.000;25.000;TDB;;11.20;1.90;;;;;;;;;;;;;;2.020;2.403;-0.36;-0.012;-1.629;9.694;;mol2,pks70,pksmb,pkshl,FermiAssoc;000021044010;1978;HE[sbc+19];2;
351;J0732+2314;J0732+2314;07:32:37.5;+23:14:54.2;;;;58000.00;111.188;1.496;;;195.931;19.035;113.15631500;23.24839167;0.004090;6.02e-21;244.490583;-3.600e-16;;;58000.00;44.67;-0.005;3.60;;;TDB;;;0.73;;ELL1;;30.2301;10.6258;68.43;9.248e-06;57747.1164;8.600e-06;3.400e-06;0.1467;0.1713;He(?)[mgf+19];1.151;1.151;14.57;0.375;-0.299;9.546;;ar327;001000000000;2019;;;
352;J0733-2345;J0733-2345;07:33:24.6;-23:45:56.2;;;;53014.00;120.716;-44.746;;;238.713;-2.030;113.35250000;-23.76561111;1.796250;5.70e-15;0.556715;-1.768e-15;;;53014.00;190.20;;;18.000;58.000;TDB;;;0.07;;;;;;;;;;;;;;4.122;4.122;-6.74;-0.146;-3.520;10.639;;pksmb,gbncc;002000040000;2006;;;
353;J0734-1559;J0734-1559;07:34:45.6;-15:59:18.2;;;;55000.00;118.955;-37.076;;;232.062;2.016;113.69039583;-15.98840000;0.156250;1.22e-14;6.400000;-5.000e-13;;;55000.00;;;;;;TDB;;;;;;;;;;;;;;;;;;;;0.000;-0.000;8.500;GRS:4FGL_J0734.7-1559[aab+22];FermiBlind;000004000000;2011;NRAD[aab+22];;
354;J0736-6304;J0736-6304;07:36:20.0;-63:04:16;;;;56212.00;172.388;-79.254;;;274.881;-19.153;114.08337500;-63.07111111;4.862874;1.52e-13;0.205640;-6.423e-15;;;56212.00;19.40;;;30.000;;TDB;;;;;;;;;;;;;;;;;0.104;0.104;-6.36;-0.034;-0.098;8.492;;pkssw;000000100000;2010;RRAT;;
